season,session,game_id,game_date,player,eh_id,api_id,position,team,opp_team,strength_state,toi,g,g_adj,ihdg,a1,a2,ixg,ixg_adj,isf,isf_adj,ihdsf,imsf,imsf_adj,ihdm,iff,iff_adj,ihdf,isb,isb_adj,icf,icf_adj,ibs,ibs_adj,igive,itake,ihf,iht,ifow,ifol,iozfw,iozfl,inzfw,inzfl,idzfw,idzfl,a1_xg,a2_xg,ipent0,ipent2,ipent4,ipent5,ipent10,ipend0,ipend2,ipend4,ipend5,ipend10,gf,ga,gf_adj,ga_adj,hdgf,hdga,xgf,xga,xgf_adj,xga_adj,sf,sa,sf_adj,sa_adj,hdsf,hdsa,ff,fa,ff_adj,fa_adj,hdff,hdfa,cf,ca,cf_adj,ca_adj,bsf,bsa,bsf_adj,bsa_adj,msf,msa,msf_adj,msa_adj,hdmsf,hdmsa,teammate_block,teammate_block_adj,hf,ht,give,take,ozf,nzf,dzf,fow,fol,ozfw,ozfl,nzfw,nzfl,dzfw,dzfl,pent0,pent2,pent4,pent5,pent10,pend0,pend2,pend4,pend5,pend10,ozs,nzs,dzs,otf,g_p60,g_adj_p60,ihdg_p60,a1_p60,a2_p60,ixg_p60,ixg_adj_p60,isf_p60,isf_adj_p60,ihdsf_p60,imsf_p60,imsf_adj_p60,ihdm_p60,iff_p60,iff_adj_p60,ihdf_p60,isb_p60,isb_adj_p60,icf_p60,icf_adj_p60,ibs_p60,ibs_adj_p60,igive_p60,itake_p60,ihf_p60,iht_p60,a1_xg_p60,a2_xg_p60,ipent0_p60,ipent2_p60,ipent4_p60,ipent5_p60,ipent10_p60,ipend0_p60,ipend2_p60,ipend4_p60,ipend5_p60,ipend10_p60,gf_p60,ga_p60,gf_adj_p60,ga_adj_p60,hdgf_p60,hdga_p60,xgf_p60,xga_p60,xgf_adj_p60,xga_adj_p60,sf_p60,sa_p60,sf_adj_p60,sa_adj_p60,hdsf_p60,hdsa_p60,ff_p60,fa_p60,ff_adj_p60,fa_adj_p60,hdff_p60,hdfa_p60,cf_p60,ca_p60,cf_adj_p60,ca_adj_p60,bsf_p60,bsa_p60,bsf_adj_p60,bsa_adj_p60,msf_p60,msa_p60,msf_adj_p60,msa_adj_p60,hdmsf_p60,hdmsa_p60,teammate_block_p60,teammate_block_adj_p60,hf_p60,ht_p60,give_p60,take_p60,pent0_p60,pent2_p60,pent4_p60,pent5_p60,pent10_p60,pend0_p60,pend2_p60,pend4_p60,pend5_p60,pend10_p60,gf_percent,gf_adj_percent,hdgf_percent,xgf_percent,xgf_adj_percent,sf_percent,sf_adj_percent,hdsf_percent,ff_percent,ff_adj_percent,hdff_percent,cf_percent,cf_adj_percent,bsf_percent,bsf_adj_percent,msf_percent,msf_adj_percent,hdmsf_percent,hf_percent,take_percent
20242025,R,2024020502,2024-12-17,LUKE SCHENN,LUKE.SCHENN,8474568,D,NSH,NYR,5v5,15.6,0,0.0,0,0,0,1.276927554514259,1.2661045471816732,7,7.219664131647936,5,1,1.0300111853867766,0,8,8.240089483094213,5,0,0.0,8,8.240089483094213,4,0.0,0,1,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1.5556457587517798,0.3773176674731076,1.5424603862579727,0.3850114707991885,13,5,13.407947673060452,4.9064568807988405,5,0,16,9,16.480178966188426,8.799747359775559,6,2,16,18,16.480178966188426,8.799747359775559,0,9,0.0,0.0,3,4,3.09003355616033,3.8838351602824037,1,2,0,0.0,13,8,0,0,1,6,6,5,8,0,1,2,4,3,3,0,1,0,0,0,0,1,0,1,0,1,2,1,16,0.0,0.0,0.0,0.0,0.0,4.9112598250548425,4.869632873775666,26.923076923076923,27.767938967876677,19.230769230769234,3.8461538461538467,3.9615814822568334,0.0,30.769230769230774,31.692651858054667,19.230769230769234,0.0,0.0,30.769230769230774,31.692651858054667,15.384615384615387,0.0,0.0,3.8461538461538467,11.538461538461538,3.8461538461538467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983252918276076,1.4512217979734907,5.932539947146049,1.480813349227648,50.0,19.230769230769234,51.56902951177097,18.870988003072465,19.230769230769234,0.0,61.53846153846155,34.61538461538462,63.385303716109334,33.84518215298292,23.076923076923077,7.692307692307693,61.53846153846155,69.23076923076924,63.385303716109334,33.84518215298292,0.0,34.61538461538462,0.0,0.0,11.538461538461538,15.384615384615387,11.8847444467705,14.937827539547706,3.8461538461538467,7.692307692307693,0.0,0.0,50.0,30.769230769230774,0.0,0.0,0.0,3.8461538461538467,0.0,0.0,0.0,0.0,3.8461538461538467,0.0,3.8461538461538467,0.0,0.0,0.0,0.0,0.8047983410581049,0.8002505357525588,0.7222222222222222,0.7320984765641791,1.0,0.64,0.6519077134043031,0.75,0.47058823529411764,0.6519077134043031,0.0,0.0,0.42857142857142855,0.44308742848496147,0.3333333333333333,0.6190476190476191,0.0
20242025,R,2024020596,2024-12-31,GUSTAV NYQUIST,GUSTAV.NYQUIST,8474679,R,NSH,MIN,5v5,12.183333333333334,0,0.0,0,1,0,0.9391923565417528,0.950520765158376,5,5.023639780827252,2,0,0.0,0,5,5.037230092112083,2,1,0.0,6,5.037230092112083,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0.1298144906759262,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1.019297484822203,0.0,0,0,1.3652632469311357,0.6913728667423129,1.3909280376731983,0.6707660724754718,11,6,11.071846101752405,6.048106940478546,4,2,14,8,13.988489784880334,7.980597602325725,4,2,17,8,13.988489784880334,7.980597602325725,3,0,0.0,0.0,3,2,2.8848700350159144,1.9515920436997476,0,0,0,0.0,6,3,0,0,3,0,4,4,3,1,2,0,0,3,1,0,1,0,0,0,0,1,0,0,0,2,0,1,12,0.0,0.0,0.0,4.924760601915184,0.0,4.625297515116703,4.681087215554246,24.623803009575923,24.740223270831883,9.849521203830369,0.0,0.0,0.0,24.623803009575923,24.807152300415186,9.849521203830369,4.924760601915184,0.0,29.548563611491108,24.807152300415186,0.0,0.0,4.924760601915184,0.0,0.0,4.924760601915184,0.6393052892384875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.924760601915184,0.0,5.019796094883626,0.0,0.0,0.0,6.723594649729259,3.4048458553656995,6.849987600032167,3.303362326828589,54.17236662106703,29.548563611491108,54.526191472378464,29.78547877663853,19.699042407660738,9.849521203830369,68.94664842681257,39.398084815321475,68.88996337287169,39.302532651672514,19.699042407660738,9.849521203830369,83.72093023255815,39.398084815321475,68.88996337287169,39.302532651672514,14.774281805745554,0.0,0.0,0.0,14.774281805745554,9.849521203830369,14.207294290092054,9.611123607823654,0.0,0.0,0.0,0.0,29.548563611491108,14.774281805745554,0.0,0.0,0.0,4.924760601915184,0.0,0.0,0.0,0.0,4.924760601915184,0.0,0.0,0.0,1.0,1.0,0.0,0.663833158357109,0.6746529617688521,0.6470588235294118,0.6467217564464535,0.6666666666666666,0.6363636363636364,0.6367351332503091,0.6666666666666666,0.68,0.6367351332503091,1.0,0.0,0.6,0.5964835427350235,0.0,0.6666666666666666,0.0
20242025,R,2024020714,2025-01-16,RYAN O'REILLY,RYAN.O'REILLY,8475158,C,NSH,CHI,5v5,15.166666666666666,0,0.0,0,0,0,0.8755395710468292,0.8167383530601966,3,2.8822192407531286,1,2,1.8431617166259422,1,5,4.716334618638661,2,0,0.0,5,4.716334618638661,2,0.0,0,2,0,1,9,3,5,0,1,3,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.019297484822203,0,0,1.2628845325671136,1.0449665915220976,1.1762428738632742,1.0871272042576707,7,7,6.68622581522322,7.198950751234545,1,2,11,9,10.347552621442603,9.166618511202843,4,3,16,13,10.347552621442603,9.166618511202843,5,4,0.0,0.0,4,2,3.6863234332518844,1.9433763169264515,3,1,0,0.0,6,8,0,0,6,4,3,9,4,5,1,1,3,3,0,0,0,0,0,0,0,4,0,0,0,2,0,1,14,0.0,0.0,0.0,0.0,0.0,3.4636730283171264,3.231052825293086,11.868131868131869,11.402186007375015,3.956043956043956,7.912087912087912,7.2916287690696615,3.956043956043956,19.78021978021978,18.65802706274635,7.912087912087912,0.0,0.0,19.78021978021978,18.65802706274635,7.912087912087912,0.0,0.0,7.912087912087912,0.0,3.956043956043956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.956043956043956,0.0,4.032385654241682,0.0,0.0,4.996026722243527,4.1339337686588475,4.653268511986579,4.300723005854522,27.692307692307693,27.692307692307693,26.451003225058894,28.47936560927952,3.956043956043956,7.912087912087912,43.51648351648352,35.604395604395606,40.93537300790481,36.26354575860466,15.824175824175825,11.868131868131869,63.2967032967033,51.42857142857143,40.93537300790481,36.26354575860466,19.78021978021978,15.824175824175825,0.0,0.0,15.824175824175825,7.912087912087912,14.583257538139323,7.688082132895852,11.868131868131869,3.956043956043956,0.0,0.0,23.736263736263737,31.64835164835165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.824175824175825,0.0,0.0,0.0,0.0,0.0,0.0,0.5472123047215658,0.5196864998939077,0.5,0.48153696737101964,0.3333333333333333,0.55,0.5302583722929478,0.5714285714285714,0.5517241379310345,0.5302583722929478,0.5555555555555556,0.0,0.6666666666666666,0.6547992960255314,0.75,0.42857142857142855,0.0
20242025,R,2024020131,2024-10-26,FILIP FORSBERG,FILIP.FORSBERG,8476887,L,NSH,CBJ,5v5,15.033333333333333,0,0.0,0,0,0,0.8351806793361902,0.7964745357603454,6,5.859503771857149,1,4,3.814256465706685,0,10,9.648940174362858,1,2,0.0,12,9.648940174362858,1,0.0,2,3,4,0,0,1,0,0,0,1,0,0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0.0,1.0439159868078458,0,0,1.5844532009214163,0.4685592339374125,1.5009867093267781,0.4918887698962117,14,8,13.393629921465154,8.196532320783202,3,1,22,12,20.937576359499428,12.349914787683028,3,1,25,14,20.937576359499428,12.349914787683028,3,2,0.0,0.0,8,4,7.602312751884686,4.116638262561009,0,0,0,0.0,6,5,0,0,5,3,7,7,8,1,4,2,1,4,3,0,1,0,0,0,0,1,0,0,0,3,3,4,10,0.0,0.0,0.0,0.0,0.0,3.3333153499005372,3.17883406733619,23.946784922394677,23.386046096103918,3.9911308203991127,15.96452328159645,15.223196537188542,0.0,39.911308203991126,38.51018251408679,3.9911308203991127,7.982261640798225,0.0,47.893569844789354,38.51018251408679,3.9911308203991127,0.0,7.982261640798225,11.973392461197339,15.96452328159645,0.0,0.0,0.0,0.0,3.9911308203991127,0.0,0.0,0.0,0.0,3.9911308203991127,0.0,0.0,0.0,0.0,3.9911308203991127,0.0,4.166405268856147,0.0,0.0,6.323760003677493,1.8700811997502051,5.990634316603549,1.9631924297409782,55.87583148558758,31.9290465631929,53.455729176579325,32.71343276587531,11.973392461197339,3.9911308203991127,87.80487804878048,47.893569844789354,83.56460631285803,49.290125538424505,11.973392461197339,3.9911308203991127,99.77827050997783,55.87583148558758,83.56460631285803,49.290125538424505,11.973392461197339,7.982261640798225,0.0,0.0,31.9290465631929,15.96452328159645,30.341824730360166,16.4300418461415,0.0,0.0,0.0,0.0,23.946784922394677,19.955654101995563,0.0,0.0,0.0,3.9911308203991127,0.0,0.0,0.0,0.0,3.9911308203991127,0.0,0.0,0.0,0.0,0.0,0.0,0.7717698996939432,0.7531763649939653,0.6363636363636364,0.6203580024635502,0.75,0.6470588235294118,0.628992322278744,0.75,0.6410256410256411,0.628992322278744,0.6,0.0,0.6666666666666666,0.6487195605232483,0.0,0.5454545454545454,0.0
20242025,R,2024020243,2024-11-11,JONATHAN MARCHESSAULT,JONATHAN.MARCHESSAULT,8476539,R,NSH,COL,5v5,14.45,0,0.0,0,0,0,0.791482743807137,0.8222165695370747,4,4.116256140757763,2,2,2.0646942095453795,1,6,6.1940826286361395,3,2,0.0,8,6.1940826286361395,0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1.2207670668140054,0.7208145572803915,1.263494032393643,0.6849546038527503,7,6,7.144856796311879,5.808339135139812,2,0,11,13,11.173841313571197,12.489215422699202,5,1,17,19,11.173841313571197,12.489215422699202,6,6,0.0,0.0,4,7,4.0080705264718315,6.7053981405060865,3,1,0,0.0,5,2,0,0,6,4,2,8,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,1,11,0.0,0.0,0.0,0.0,0.0,3.286433538299531,3.4140480396003103,16.60899653979239,17.091720999686213,8.304498269896195,8.304498269896195,8.573124745517148,4.152249134948097,24.913494809688583,25.719374236551445,12.456747404844291,8.304498269896195,0.0,33.21799307958478,25.719374236551445,0.0,0.0,4.152249134948097,4.152249134948097,4.152249134948097,4.152249134948097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06892899715158,2.993001621925501,5.2463420030185866,2.844102161326299,29.06574394463668,24.913494809688583,29.667225451814033,24.117671149369464,8.304498269896195,0.0,45.674740484429066,53.97923875432526,46.39657292832331,51.85833393508319,20.761245674740486,4.152249134948097,70.58823529411765,78.89273356401385,46.39657292832331,51.85833393508319,24.913494809688583,24.913494809688583,0.0,0.0,16.60899653979239,29.06574394463668,16.642507376353628,27.842483628398977,12.456747404844291,4.152249134948097,0.0,0.0,20.761245674740486,8.304498269896195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6287487745375641,0.6484615549464586,0.5384615384615384,0.5515902665351824,1.0,0.4583333333333333,0.47220616668868864,0.8333333333333334,0.4722222222222222,0.47220616668868864,0.5,0.0,0.36363636363636365,0.3741151116468835,0.75,0.7142857142857143,0.0
