id,season,session,game_id,game_date,event_idx,period,period_seconds,game_seconds,strength_state,event_team,opp_team,event,description,zone,coords_x,coords_y,danger,high_danger,player_1,player_1_eh_id,player_1_eh_id_api,player_1_api_id,player_1_position,player_1_type,player_2,player_2_eh_id,player_2_eh_id_api,player_2_api_id,player_2_position,player_2_type,player_3,player_3_eh_id,player_3_eh_id_api,player_3_api_id,player_3_position,player_3_type,score_state,score_diff,forwards_percent,opp_forwards_percent,shot_type,event_length,event_distance,pbp_distance,event_angle,penalty,penalty_length,home_score,home_score_diff,away_score,away_score_diff,is_home,is_away,home_team,away_team,home_skaters,away_skaters,home_on,home_on_eh_id,home_on_api_id,home_on_positions,away_on,away_on_eh_id,away_on_api_id,away_on_positions,event_team_skaters,teammates,teammates_eh_id,teammates_api_id,teammates_positions,own_goalie,own_goalie_eh_id,own_goalie_api_id,forwards,forwards_eh_id,forwards_api_id,forwards_count,defense,defense_eh_id,defense_api_id,defense_count,opp_strength_state,opp_score_state,opp_score_diff,opp_team_skaters,opp_team_on,opp_team_on_eh_id,opp_team_on_api_id,opp_team_on_positions,opp_goalie,opp_goalie_eh_id,opp_goalie_api_id,opp_forwards,opp_forwards_eh_id,opp_forwards_api_id,opp_forwards_count,opp_defense,opp_defense_eh_id,opp_defense_api_id,opp_defense_count,home_forwards,home_forwards_eh_id,home_forwards_api_id,home_forwards_count,home_forwards_percent,home_defense,home_defense_eh_id,home_defense_api_id,home_defense_count,home_goalie,home_goalie_eh_id,home_goalie_api_id,away_forwards,away_forwards_eh_id,away_forwards_api_id,away_forwards_count,away_forwards_percent,away_defense,away_defense_eh_id,away_defense_api_id,away_defense_count,away_goalie,away_goalie_eh_id,away_goalie_api_id,change_on_count,change_off_count,change_on,change_on_eh_id,change_on_api_id,change_on_positions,change_off,change_off_eh_id,change_off_api_id,change_off_positions,change_on_forwards_count,change_off_forwards_count,change_on_forwards,change_on_forwards_eh_id,change_on_forwards_api_id,change_off_forwards,change_off_forwards_eh_id,change_off_forwards_api_id,change_on_defense_count,change_off_defense_count,change_on_defense,change_on_defense_eh_id,change_on_defense_api_id,change_off_defense,change_off_defense_eh_id,change_off_defense_api_id,change_on_goalie_count,change_off_goalie_count,change_on_goalie,change_on_goalie_eh_id,change_on_goalie_api_id,change_off_goalie,change_off_goalie_eh_id,change_off_goalie_api_id,pred_goal,pred_goal_adj,goal,goal_adj,hd_goal,shot,shot_adj,hd_shot,miss,miss_adj,hd_miss,fenwick,fenwick_adj,hd_fenwick,corsi,corsi_adj,block,block_adj,teammate_block,teammate_block_adj,hit,give,take,fac,penl,change,stop,chl,ozf,nzf,dzf,ozc,nzc,dzc,otf,pen0,pen2,pen4,pen5,pen10
20240200170342,20242025,R,2024020017,2024-10-10,342,2,210,1410,5v4,NSH,DAL,GOAL,"NSH #9 FORSBERG(1), SNAP , OFF. ZONE, 29 FT.ASSISTS: #81 MARCHESSAULT(1); #59 JOSI(1) ",OFF,-60.0,6.0,1.0,0.0,FILIP FORSBERG,FILIP.FORSBERG,FILIP.FORSBERG,8476887.0,L,GOAL SCORER,JONATHAN MARCHESSAULT,JONATHAN.MARCHESSAULT,JONATHAN.MARCHESSAULT,8476539.0,R,PRIMARY ASSIST,ROMAN JOSI,ROMAN.JOSI,ROMAN.JOSI,8474600.0,D,SECONDARY ASSIST,0v2,-2,0.8,0.5,SNAP,0,29.614185789921695,29.0,11.689369175439193,,,0,-2,2,2,1,0,NSH,DAL,5,4,"FILIP FORSBERG, JONATHAN MARCHESSAULT, RYAN O'REILLY, STEVEN STAMKOS, ROMAN JOSI","FILIP.FORSBERG, JONATHAN.MARCHESSAULT, RYAN.O'REILLY, STEVEN.STAMKOS, ROMAN.JOSI","8476887, 8476539, 8475158, 8474564, 8474600","L, R, C, C, D","OSKAR BACK, COLIN BLACKWELL, ESA LINDELL, ILYA LYUBUSHKIN","OSKAR.BACK, COLIN.BLACKWELL, ESA.LINDELL, ILYA.LYUBUSHKIN","8480840, 8476278, 8476902, 8480950","C, C, D, D",5,"FILIP FORSBERG, JONATHAN MARCHESSAULT, RYAN O'REILLY, STEVEN STAMKOS, ROMAN JOSI","FILIP.FORSBERG, JONATHAN.MARCHESSAULT, RYAN.O'REILLY, STEVEN.STAMKOS, ROMAN.JOSI","8476887, 8476539, 8475158, 8474564, 8474600","L, R, C, C, D",SCOTT WEDGEWOOD,SCOTT.WEDGEWOOD,8475809,"FILIP FORSBERG, JONATHAN MARCHESSAULT, RYAN O'REILLY, STEVEN STAMKOS","FILIP.FORSBERG, JONATHAN.MARCHESSAULT, RYAN.O'REILLY, STEVEN.STAMKOS","8476887, 8476539, 8475158, 8474564",4,ROMAN JOSI,ROMAN.JOSI,8474600,1,4v5,2v0,2,4,"OSKAR BACK, COLIN BLACKWELL, ESA LINDELL, ILYA LYUBUSHKIN","OSKAR.BACK, COLIN.BLACKWELL, ESA.LINDELL, ILYA.LYUBUSHKIN","8480840, 8476278, 8476902, 8480950","C, C, D, D",JAKE OETTINGER,JAKE.OETTINGER,8479979,"OSKAR BACK, COLIN BLACKWELL","OSKAR.BACK, COLIN.BLACKWELL","8480840, 8476278",2,"ESA LINDELL, ILYA LYUBUSHKIN","ESA.LINDELL, ILYA.LYUBUSHKIN","8476902, 8480950",2,"FILIP FORSBERG, JONATHAN MARCHESSAULT, RYAN O'REILLY, STEVEN STAMKOS","FILIP.FORSBERG, JONATHAN.MARCHESSAULT, RYAN.O'REILLY, STEVEN.STAMKOS","8476887, 8476539, 8475158, 8474564",4,0.8,ROMAN JOSI,ROMAN.JOSI,8474600,1,SCOTT WEDGEWOOD,SCOTT.WEDGEWOOD,8475809,"OSKAR BACK, COLIN BLACKWELL","OSKAR.BACK, COLIN.BLACKWELL","8480840, 8476278",2,0.5,"ESA LINDELL, ILYA LYUBUSHKIN","ESA.LINDELL, ILYA.LYUBUSHKIN","8476902, 8480950",2,JAKE OETTINGER,JAKE.OETTINGER,8479979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10842917859554291,0.09474257050596668,1,0.8686440677966102,0,1,0.8566556081559623,0,0,0.0,0,1,0.8542067923056293,0,1,0.8542037445717947,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240200170615,20242025,R,2024020017,2024-10-10,615,3,277,2677,5v5,NSH,DAL,GOAL,"NSH #82 NOVAK(1), BACKHAND , OFF. ZONE, 7 FT.ASSISTS: #77 EVANGELISTA(1); #9 FORSBERG(1) ",OFF,82.0,-2.0,0.0,1.0,THOMAS NOVAK,THOMAS.NOVAK,THOMAS.NOVAK,8478438.0,C,GOAL SCORER,LUKE EVANGELISTA,LUKE.EVANGELISTA,LUKE.EVANGELISTA,8482146.0,R,PRIMARY ASSIST,FILIP FORSBERG,FILIP.FORSBERG,FILIP.FORSBERG,8476887.0,L,SECONDARY ASSIST,1v4,-3,0.6,0.6,BACKHAND,0,7.280109889280518,7.0,15.945395900922854,,,1,-3,4,3,1,0,NSH,DAL,5,5,"PHILIP TOMASINO, LUKE EVANGELISTA, THOMAS NOVAK, JEREMY LAUZON, ALEX CARRIER","PHILIP.TOMASINO, LUKE.EVANGELISTA, THOMAS.NOVAK, JEREMY.LAUZON, ALEX.CARRIER","8481577, 8482146, 8478438, 8478468, 8478851","C, R, C, D, D","JAMIE BENN, SAM STEEL, EVGENY DADONOV, ILYA LYUBUSHKIN, THOMAS HARLEY","JAMIE.BENN, SAM.STEEL, EVGENY.DADONOV, ILYA.LYUBUSHKIN, THOMAS.HARLEY","8473994, 8479351, 8474149, 8480950, 8481581","L, C, R, D, D",5,"PHILIP TOMASINO, LUKE EVANGELISTA, THOMAS NOVAK, JEREMY LAUZON, ALEX CARRIER","PHILIP.TOMASINO, LUKE.EVANGELISTA, THOMAS.NOVAK, JEREMY.LAUZON, ALEX.CARRIER","8481577, 8482146, 8478438, 8478468, 8478851","C, R, C, D, D",SCOTT WEDGEWOOD,SCOTT.WEDGEWOOD,8475809,"PHILIP TOMASINO, LUKE EVANGELISTA, THOMAS NOVAK","PHILIP.TOMASINO, LUKE.EVANGELISTA, THOMAS.NOVAK","8481577, 8482146, 8478438",3,"JEREMY LAUZON, ALEX CARRIER","JEREMY.LAUZON, ALEX.CARRIER","8478468, 8478851",2,5v5,4v1,3,5,"JAMIE BENN, SAM STEEL, EVGENY DADONOV, ILYA LYUBUSHKIN, THOMAS HARLEY","JAMIE.BENN, SAM.STEEL, EVGENY.DADONOV, ILYA.LYUBUSHKIN, THOMAS.HARLEY","8473994, 8479351, 8474149, 8480950, 8481581","L, C, R, D, D",JAKE OETTINGER,JAKE.OETTINGER,8479979,"JAMIE BENN, SAM STEEL, EVGENY DADONOV","JAMIE.BENN, SAM.STEEL, EVGENY.DADONOV","8473994, 8479351, 8474149",3,"ILYA LYUBUSHKIN, THOMAS HARLEY","ILYA.LYUBUSHKIN, THOMAS.HARLEY","8480950, 8481581",2,"PHILIP TOMASINO, LUKE EVANGELISTA, THOMAS NOVAK","PHILIP.TOMASINO, LUKE.EVANGELISTA, THOMAS.NOVAK","8481577, 8482146, 8478438",3,0.6,"JEREMY LAUZON, ALEX CARRIER","JEREMY.LAUZON, ALEX.CARRIER","8478468, 8478851",2,SCOTT WEDGEWOOD,SCOTT.WEDGEWOOD,8475809,"JAMIE BENN, SAM STEEL, EVGENY DADONOV","JAMIE.BENN, SAM.STEEL, EVGENY.DADONOV","8473994, 8479351, 8474149",3,0.6,"ILYA LYUBUSHKIN, THOMAS HARLEY","ILYA.LYUBUSHKIN, THOMAS.HARLEY","8480950, 8481581",2,JAKE OETTINGER,JAKE.OETTINGER,8479979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19843439757823944,0.18385268663390197,1,0.9492781520692974,1,1,0.8776046468744237,1,0,0.0,0,1,0.876901970566226,1,1,0.8595735290701726,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240200170792,20242025,R,2024020017,2024-10-10,792,3,1105,3505,Ev5,NSH,DAL,GOAL,"NSH #90 O'REILLY(1), WRIST , OFF. ZONE, 21 FT.ASSIST: #81 MARCHESSAULT(2) ",OFF,74.0,-15.0,1.0,0.0,RYAN O'REILLY,RYAN.O'REILLY,RYAN.O'REILLY,8475158.0,C,GOAL SCORER,JONATHAN MARCHESSAULT,JONATHAN.MARCHESSAULT,JONATHAN.MARCHESSAULT,8476539.0,R,PRIMARY ASSIST,,,,,,,2v4,-2,0.8333333333333334,0.6,WRIST,0,21.213203435596427,21.0,45.0,,,2,-2,4,2,1,0,NSH,DAL,6,5,"FILIP FORSBERG, GUSTAV NYQUIST, JONATHAN MARCHESSAULT, RYAN O'REILLY, STEVEN STAMKOS, ROMAN JOSI","FILIP.FORSBERG, GUSTAV.NYQUIST, JONATHAN.MARCHESSAULT, RYAN.O'REILLY, STEVEN.STAMKOS, ROMAN.JOSI","8476887, 8474679, 8476539, 8475158, 8474564, 8474600","L, C, R, C, C, D","JAMIE BENN, EVGENY DADONOV, MATT DUCHENE, ESA LINDELL, ILYA LYUBUSHKIN","JAMIE.BENN, EVGENY.DADONOV, MATT.DUCHENE, ESA.LINDELL, ILYA.LYUBUSHKIN","8473994, 8474149, 8475168, 8476902, 8480950","L, R, C, D, D",6,"FILIP FORSBERG, GUSTAV NYQUIST, JONATHAN MARCHESSAULT, RYAN O'REILLY, STEVEN STAMKOS, ROMAN JOSI","FILIP.FORSBERG, GUSTAV.NYQUIST, JONATHAN.MARCHESSAULT, RYAN.O'REILLY, STEVEN.STAMKOS, ROMAN.JOSI","8476887, 8474679, 8476539, 8475158, 8474564, 8474600","L, C, R, C, C, D",,,,"FILIP FORSBERG, GUSTAV NYQUIST, JONATHAN MARCHESSAULT, RYAN O'REILLY, STEVEN STAMKOS","FILIP.FORSBERG, GUSTAV.NYQUIST, JONATHAN.MARCHESSAULT, RYAN.O'REILLY, STEVEN.STAMKOS","8476887, 8474679, 8476539, 8475158, 8474564",5,ROMAN JOSI,ROMAN.JOSI,8474600,1,5vE,4v2,2,5,"JAMIE BENN, EVGENY DADONOV, MATT DUCHENE, ESA LINDELL, ILYA LYUBUSHKIN","JAMIE.BENN, EVGENY.DADONOV, MATT.DUCHENE, ESA.LINDELL, ILYA.LYUBUSHKIN","8473994, 8474149, 8475168, 8476902, 8480950","L, R, C, D, D",JAKE OETTINGER,JAKE.OETTINGER,8479979,"JAMIE BENN, EVGENY DADONOV, MATT DUCHENE","JAMIE.BENN, EVGENY.DADONOV, MATT.DUCHENE","8473994, 8474149, 8475168",3,"ESA LINDELL, ILYA LYUBUSHKIN","ESA.LINDELL, ILYA.LYUBUSHKIN","8476902, 8480950",2,"FILIP FORSBERG, GUSTAV NYQUIST, JONATHAN MARCHESSAULT, RYAN O'REILLY, STEVEN STAMKOS","FILIP.FORSBERG, GUSTAV.NYQUIST, JONATHAN.MARCHESSAULT, RYAN.O'REILLY, STEVEN.STAMKOS","8476887, 8474679, 8476539, 8475158, 8474564",5,0.8333333333333334,ROMAN JOSI,ROMAN.JOSI,8474600,1,,,,"JAMIE BENN, EVGENY DADONOV, MATT DUCHENE","JAMIE.BENN, EVGENY.DADONOV, MATT.DUCHENE","8473994, 8474149, 8475168",3,0.6,"ESA LINDELL, ILYA LYUBUSHKIN","ESA.LINDELL, ILYA.LYUBUSHKIN","8476902, 8480950",2,JAKE OETTINGER,JAKE.OETTINGER,8479979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0762365311384201,0.0762365311384201,1,1.0,0,1,1.0,0,0,0.0,0,1,1.0,0,1,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240200530225,20242025,R,2024020053,2024-10-15,225,1,887,887,5v5,NSH,SEA,GOAL,"NSH #47 MCCARRON(1), BACKHAND , OFF. ZONE, 10 FT.ASSISTS: #13 PARSSINEN(1); #45 CARRIER(1) ",OFF,80.0,6.0,0.0,1.0,MICHAEL MCCARRON,MICHAEL.MCCARRON,MICHAEL.MCCARRON,8477446.0,R,GOAL SCORER,JUUSO PARSSINEN,JUUSO.PARSSINEN,JUUSO.PARSSINEN,8481704.0,C,PRIMARY ASSIST,ALEX CARRIER,ALEX.CARRIER,ALEX.CARRIER,8478851.0,D,SECONDARY ASSIST,0v2,-2,0.6,0.6,BACKHAND,0,10.816653826391969,10.0,33.690067525979785,,,0,-2,2,2,1,0,NSH,SEA,5,5,"COLTON SISSONS, JUUSO PARSSINEN, MICHAEL MCCARRON, ALEX CARRIER, ROMAN JOSI","COLTON.SISSONS, JUUSO.PARSSINEN, MICHAEL.MCCARRON, ALEX.CARRIER, ROMAN.JOSI","8476925, 8481704, 8477446, 8478851, 8474600","C, C, R, D, D","CHANDLER STEPHENSON, JADEN SCHWARTZ, OLIVER BJORKSTRAND, ADAM LARSSON, VINCE DUNN","CHANDLER.STEPHENSON, JADEN.SCHWARTZ, OLIVER.BJORKSTRAND, ADAM.LARSSON, VINCE.DUNN","8476905, 8475768, 8477416, 8476457, 8478407","C, C, R, D, D",5,"COLTON SISSONS, JUUSO PARSSINEN, MICHAEL MCCARRON, ALEX CARRIER, ROMAN JOSI","COLTON.SISSONS, JUUSO.PARSSINEN, MICHAEL.MCCARRON, ALEX.CARRIER, ROMAN.JOSI","8476925, 8481704, 8477446, 8478851, 8474600","C, C, R, D, D",JUUSE SAROS,JUUSE.SAROS,8477424,"COLTON SISSONS, JUUSO PARSSINEN, MICHAEL MCCARRON","COLTON.SISSONS, JUUSO.PARSSINEN, MICHAEL.MCCARRON","8476925, 8481704, 8477446",3,"ALEX CARRIER, ROMAN JOSI","ALEX.CARRIER, ROMAN.JOSI","8478851, 8474600",2,5v5,2v0,2,5,"CHANDLER STEPHENSON, JADEN SCHWARTZ, OLIVER BJORKSTRAND, ADAM LARSSON, VINCE DUNN","CHANDLER.STEPHENSON, JADEN.SCHWARTZ, OLIVER.BJORKSTRAND, ADAM.LARSSON, VINCE.DUNN","8476905, 8475768, 8477416, 8476457, 8478407","C, C, R, D, D",JOEY DACCORD,JOEY.DACCORD,8478916,"CHANDLER STEPHENSON, JADEN SCHWARTZ, OLIVER BJORKSTRAND","CHANDLER.STEPHENSON, JADEN.SCHWARTZ, OLIVER.BJORKSTRAND","8476905, 8475768, 8477416",3,"ADAM LARSSON, VINCE DUNN","ADAM.LARSSON, VINCE.DUNN","8476457, 8478407",2,"COLTON SISSONS, JUUSO PARSSINEN, MICHAEL MCCARRON","COLTON.SISSONS, JUUSO.PARSSINEN, MICHAEL.MCCARRON","8476925, 8481704, 8477446",3,0.6,"ALEX CARRIER, ROMAN JOSI","ALEX.CARRIER, ROMAN.JOSI","8478851, 8474600",2,JUUSE SAROS,JUUSE.SAROS,8477424,"CHANDLER STEPHENSON, JADEN SCHWARTZ, OLIVER BJORKSTRAND","CHANDLER.STEPHENSON, JADEN.SCHWARTZ, OLIVER.BJORKSTRAND","8476905, 8475768, 8477416",3,0.6,"ADAM LARSSON, VINCE DUNN","ADAM.LARSSON, VINCE.DUNN","8476457, 8478407",2,JOEY DACCORD,JOEY.DACCORD,8478916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11433689296245575,0.10593498510877922,1,0.9492781520692974,1,1,0.9026969626440126,1,0,0.0,0,1,0.8969146113785988,1,1,0.8814814275521645,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240200530253,20242025,R,2024020053,2024-10-15,253,1,1020,1020,5v5,NSH,SEA,GOAL,"NSH #82 NOVAK(2), WRIST , OFF. ZONE, 9 FT.ASSISTS: #17 JANKOWSKI(1); #77 EVANGELISTA(2) ",OFF,85.0,-9.0,1.0,0.0,THOMAS NOVAK,THOMAS.NOVAK,THOMAS.NOVAK,8478438.0,C,GOAL SCORER,MARK JANKOWSKI,MARK.JANKOWSKI,MARK.JANKOWSKI,8476873.0,C,PRIMARY ASSIST,LUKE EVANGELISTA,LUKE.EVANGELISTA,LUKE.EVANGELISTA,8482146.0,R,SECONDARY ASSIST,1v2,-1,0.6,0.6,WRIST,0,9.848857801796104,9.0,66.03751102542182,,,1,-1,2,1,1,0,NSH,SEA,5,5,"MARK JANKOWSKI, LUKE EVANGELISTA, THOMAS NOVAK, ALEX CARRIER, BRADY SKJEI","MARK.JANKOWSKI, LUKE.EVANGELISTA, THOMAS.NOVAK, ALEX.CARRIER, BRADY.SKJEI","8476873, 8482146, 8478438, 8478851, 8476869","C, R, C, D, D","TYE KARTYE, BRANDON TANEV, YANNI GOURDE, WILLIAM BORGEN, RYKER EVANS","TYE.KARTYE, BRANDON.TANEV, YANNI.GOURDE, WILLIAM.BORGEN, RYKER.EVANS","8481789, 8479293, 8476826, 8478840, 8482858","L, L, C, D, D",5,"MARK JANKOWSKI, LUKE EVANGELISTA, THOMAS NOVAK, ALEX CARRIER, BRADY SKJEI","MARK.JANKOWSKI, LUKE.EVANGELISTA, THOMAS.NOVAK, ALEX.CARRIER, BRADY.SKJEI","8476873, 8482146, 8478438, 8478851, 8476869","C, R, C, D, D",JUUSE SAROS,JUUSE.SAROS,8477424,"MARK JANKOWSKI, LUKE EVANGELISTA, THOMAS NOVAK","MARK.JANKOWSKI, LUKE.EVANGELISTA, THOMAS.NOVAK","8476873, 8482146, 8478438",3,"ALEX CARRIER, BRADY SKJEI","ALEX.CARRIER, BRADY.SKJEI","8478851, 8476869",2,5v5,2v1,1,5,"TYE KARTYE, BRANDON TANEV, YANNI GOURDE, WILLIAM BORGEN, RYKER EVANS","TYE.KARTYE, BRANDON.TANEV, YANNI.GOURDE, WILLIAM.BORGEN, RYKER.EVANS","8481789, 8479293, 8476826, 8478840, 8482858","L, L, C, D, D",JOEY DACCORD,JOEY.DACCORD,8478916,"TYE KARTYE, BRANDON TANEV, YANNI GOURDE","TYE.KARTYE, BRANDON.TANEV, YANNI.GOURDE","8481789, 8479293, 8476826",3,"WILLIAM BORGEN, RYKER EVANS","WILLIAM.BORGEN, RYKER.EVANS","8478840, 8482858",2,"MARK JANKOWSKI, LUKE EVANGELISTA, THOMAS NOVAK","MARK.JANKOWSKI, LUKE.EVANGELISTA, THOMAS.NOVAK","8476873, 8482146, 8478438",3,0.6,"ALEX CARRIER, BRADY SKJEI","ALEX.CARRIER, BRADY.SKJEI","8478851, 8476869",2,JUUSE SAROS,JUUSE.SAROS,8477424,"TYE KARTYE, BRANDON TANEV, YANNI GOURDE","TYE.KARTYE, BRANDON.TANEV, YANNI.GOURDE","8481789, 8479293, 8476826",3,0.6,"WILLIAM BORGEN, RYKER EVANS","WILLIAM.BORGEN, RYKER.EVANS","8478840, 8482858",2,JOEY DACCORD,JOEY.DACCORD,8478916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06370355933904648,0.059022380572944844,1,0.9492781520692974,0,1,0.9254193252588545,0,0,0.0,0,1,0.9215808583129711,0,1,0.9101894270040205,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
