season,session,game_id,team,team_name,team_venue,player_name,eh_id,team_jersey,jersey,position,starter,status
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,ALEX CARRIER,ALEX.CARRIER,NSH45,45,D,0,ACTIVE
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,BRADY SKJEI,BRADY.SKJEI,NSH76,76,D,1,ACTIVE
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,COLE SMITH,COLE.SMITH,NSH36,36,L,1,ACTIVE
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,COLTON SISSONS,COLTON.SISSONS,NSH10,10,C,0,ACTIVE
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,DANTE FABBRO,DANTE.FABBRO,NSH57,57,D,0,ACTIVE
