strength_state,score_diff_group,home_score_diff,home_goal_weight,away_goal_weight,home_goal,away_goal,home_goal_percent,home_pred_goal_weight,away_pred_goal_weight,home_pred_goal,away_pred_goal,home_pred_goal_percent,home_shot_weight,away_shot_weight,home_shot,away_shot,home_shot_percent,home_miss,away_miss,home_miss_percent,home_block,away_block,home_block_percent,home_fenwick_weight,away_fenwick_weight,home_fenwick,away_fenwick,home_fenwick_percent,home_corsi_weight,away_corsi_weight,home_corsi,away_corsi,home_corsi_percent
5v5,trailing,-3,0.9492781520692974,1.0564481576692373,1603,1431,0.528345418589321,0.9265162133062735,1.0861441891318668,1854.7022086515194,1522.5064434341027,0.5491820019785078,0.8776046468744237,1.1620681235502381,21692,16382,0.569732625938961,8777,6363,0.5797225891677675,10979,6784,0.6180825311039801,0.876901970566226,1.1633024487094639,32072,24176,0.5701891622813255,0.8595735290701726,1.1952680878552973,43051,30960,0.5816838037589007
5v5,trailing,-2,0.9492781520692974,1.0564481576692373,2695,2407,0.5282242257938063,0.9265162133062735,1.0861441891318668,3012.3608114814247,2540.52822445717,0.5424853246634795,0.9026969626440126,1.1208142181121987,34372,27683,0.5538957376520828,13818,10304,0.5728380731282646,17792,12004,0.5971271311585448,0.8969146113785988,1.1298583948111105,50885,40394,0.5574666681273897,0.8814814275521645,1.1553398984694072,68677,52398,0.567226925459426
5v5,trailing,-1,0.9492781520692974,1.0564481576692373,6092,5498,0.5256255392579811,0.9265162133062735,1.0861441891318668,6829.977966595844,5914.920589204407,0.5358989666879298,0.9254193252588545,1.0876554852036464,78519,66807,0.540295611246439,31617,25694,0.5516741986704123,40719,30757,0.5696877273490403,0.9215808583129711,1.093006051082154,116228,97999,0.5425459909348495,0.9101894270040205,1.109474509925751,156947,128756,0.5493361987798518
5v5,tied,0,0.9596298069251635,1.0439159868078458,12534,11522,0.521034253408713,0.9547191245076518,1.0497899396043393,13912.570836509625,12652.624060856693,0.5237142392615731,0.9765839619761915,1.0245665400979003,160531,153013,0.5119887479907126,64153,59611,0.5183494392553569,79611,75709,0.5125611640484161,0.9724472847760288,1.0291595656402523,237218,224146,0.5141666883415265,0.9732126793948787,1.0283036801120542,316829,299855,0.5137623158700404
5v5,leading,1,0.981419624217119,1.019297484822203,6497,6352,0.5056424624484396,0.9915241806049812,1.0086219760181347,7146.1451945455,6863.315294141235,0.5100942466925354,1.0313805902354194,0.970472585175235,77054,81890,0.48478709482585064,29990,32114,0.48289965219631587,35060,42229,0.4536221195771714,1.0300111853867766,0.9716881584632258,113541,120356,0.48543162161122205,1.047052173269359,0.956994802718578,148601,162585,0.47753112286542454
5v5,leading,2,0.981419624217119,1.019297484822203,3130,3065,0.5052461662631155,0.9915241806049812,1.0086219760181347,3270.129084394544,3309.602410005578,0.4970003847691483,1.0690695505159447,0.9393136124983993,34306,39045,0.46769641859006694,13236,15277,0.46420930803493143,14872,20066,0.4256683267502433,1.0662594726870855,0.9414937180894628,50672,57387,0.46892901100324824,1.0908473697058465,0.923121118613869,65544,77453,0.4583592662783135
5v5,leading,3,0.981419624217119,1.019297484822203,2348,2113,0.5263393857879399,0.9915241806049812,1.0086219760181347,2437.7507745946045,2463.2105596822203,0.49740257233723184,1.089195374608528,0.9243074721455586,24906,29349,0.45905446502626485,9749,11622,0.45617893406953347,10299,15174,0.4043104463549641,1.082169013323244,0.9294285581654442,37003,43084,0.46203503689737413,1.1158090566995054,0.9059699955370936,47302,58258,0.44810534293292914
4v4,trailing,-3,0.9398989898989899,1.0683122847301951,45,34,0.569620253164557,0.9592961332903003,1.0443111358439987,42.727584414649726,35.998471696395406,0.5427375195117278,0.9484076433121019,1.0575284090909092,422,326,0.5641711229946524,157,125,0.5567375886524822,182,89,0.6715867158671587,0.8886217948717948,1.1432989690721649,624,485,0.5626690712353472,0.8560794044665012,1.2020905923344947,806,574,0.5840579710144927
4v4,trailing,-2,0.9398989898989899,1.0683122847301951,58,44,0.5686274509803921,0.9592961332903003,1.0443111358439987,64.26214949483979,55.26228268537667,0.537648649089139,0.9484076433121019,1.0575284090909092,608,572,0.5152542372881356,194,175,0.5257452574525745,254,212,0.5450643776824035,0.9598837209302326,1.0436156763590392,860,791,0.5208964264082374,0.9501795332136446,1.0553339980059822,1114,1003,0.5262163438828531
4v4,trailing,-1,0.9398989898989899,1.0683122847301951,135,124,0.5212355212355212,0.9592961332903003,1.0443111358439987,132.10746205248861,122.53740283986546,0.5187909919500413,0.9484076433121019,1.0575284090909092,1325,1214,0.5218589996061441,460,376,0.5502392344497608,567,429,0.5692771084337349,0.9463541666666667,1.0600933488914819,1920,1714,0.5283434232250963,0.9308403699236028,1.0802613159122725,2487,2143,0.5371490280777538
4v4,tied,0,0.9398989898989899,1.0683122847301951,463,411,0.5297482837528604,0.9592961332903003,1.0443111358439987,540.2416912318437,492.74285060691153,0.5229910703892927,0.9759825327510917,1.025229357798165,5267,5014,0.5123042505592841,1877,1851,0.5034871244635193,2139,2063,0.5090433127082342,0.9782437228868148,1.0227460142935678,7607,7276,0.5111200698783848,0.9791196388261851,1.0217903415783274,9746,9339,0.5106628242074928
4v4,leading,1,0.9398989898989899,1.0683122847301951,143,126,0.5315985130111525,0.9592961332903003,1.0443111358439987,142.28940609889096,127.1694597688037,0.5280561307222142,1.022382397572079,0.9785766158315178,1374,1385,0.49800652410293583,455,493,0.479957805907173,527,601,0.4671985815602837,1.0081135902636917,0.9920159680638723,1972,2004,0.4959758551307847,1.0212084833933572,0.9796545105566219,2499,2605,0.489615987460815
