season,session,game_id,team,team_name,team_venue,player_name,api_id,eh_id,team_jersey,jersey,position,starter,status,headshot_url
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,ALEX CARRIER,8478851.0,ALEX.CARRIER,NSH45,45,D,0,ACTIVE,https://assets.nhle.com/mugs/nhl/20242025/NSH/8478851.png
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,BRADY SKJEI,8476869.0,BRADY.SKJEI,NSH76,76,D,1,ACTIVE,https://assets.nhle.com/mugs/nhl/20242025/NSH/8476869.png
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,COLE SMITH,8482062.0,COLE.SMITH,NSH36,36,L,1,ACTIVE,https://assets.nhle.com/mugs/nhl/20242025/NSH/8482062.png
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,COLTON SISSONS,8476925.0,COLTON.SISSONS,NSH10,10,C,0,ACTIVE,https://assets.nhle.com/mugs/nhl/20242025/NSH/8476925.png
20242025,R,2024020017,NSH,NASHVILLE PREDATORS,HOME,DANTE FABBRO,8479371.0,DANTE.FABBRO,NSH57,57,D,0,ACTIVE,https://assets.nhle.com/mugs/nhl/20242025/NSH/8479371.png
