season,session,game_id,game_date,team,opp_team,strength_state,toi,gf,ga,gf_adj,ga_adj,hdgf,hdga,xgf,xga,xgf_adj,xga_adj,sf,sa,sf_adj,sa_adj,hdsf,hdsa,ff,fa,ff_adj,fa_adj,hdff,hdfa,cf,ca,cf_adj,ca_adj,bsf,bsa,bsf_adj,bsa_adj,msf,msa,msf_adj,msa_adj,hdmsf,hdmsa,teammate_block,hf,ht,give,take,ozf,nzf,dzf,fow,fol,ozfw,ozfl,nzfw,nzfl,dzfw,dzfl,pent0,pent2,pent4,pent5,pent10,pend0,pend2,pend4,pend5,pend10,ozs,nzs,dzs,otf,gf_p60,ga_p60,gf_adj_p60,ga_adj_p60,hdgf_p60,hdga_p60,xgf_p60,xga_p60,xgf_adj_p60,xga_adj_p60,sf_p60,sa_p60,sf_adj_p60,sa_adj_p60,hdsf_p60,hdsa_p60,ff_p60,fa_p60,ff_adj_p60,fa_adj_p60,hdff_p60,hdfa_p60,cf_p60,ca_p60,cf_adj_p60,ca_adj_p60,bsf_p60,bsa_p60,bsf_adj_p60,bsa_adj_p60,msf_p60,msa_p60,msf_adj_p60,msa_adj_p60,hdmsf_p60,hdmsa_p60,teammate_block_p60,teammate_block_adj_p60,hf_p60,ht_p60,give_p60,take_p60,pent0_p60,pent2_p60,pent4_p60,pent5_p60,pent10_p60,pend0_p60,pend2_p60,pend4_p60,pend5_p60,pend10_p60,gf_percent,gf_adj_percent,hdgf_percent,xgf_percent,xgf_adj_percent,sf_percent,sf_adj_percent,hdsf_percent,ff_percent,ff_adj_percent,hdff_percent,cf_percent,cf_adj_percent,bsf_percent,bsf_adj_percent,msf_percent,msf_adj_percent,hdmsf_percent,hf_percent,take_percent
20242025,R,2024020898,2025-02-22,COL,NSH,5v5,55.46666666666667,1,2,1.0439159868078458,1.9089079589944609,0,1,2.3815531705040485,1.8614827594719827,2.4610916050204703,1.7885334704983409,30,16,30.412432473401015,15.471849481467052,5,3,40,28,40.64913996101686,27.306180296782625,9,5,61,37,40.64913996101686,27.306180296782625,20,9,0.0,0.0,10,12,10.119181434871443,11.899623019755337,4,2,1,23,15,18,7,10,16,18,22,23,5,7,8,5,9,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0817307692307692,2.1634615384615383,1.1292360434219486,2.064924474873816,0.0,1.0817307692307692,2.5761993430933217,2.0136231773134425,2.662238515046182,1.9347116868371474,32.45192307692307,17.307692307692307,32.898063973630904,16.73637564101003,5.408653846153846,3.2451923076923075,43.26923076923077,30.288461538461537,43.971425438599965,29.53793541719274,9.735576923076923,5.408653846153846,65.98557692307692,40.02403846153846,43.971425438599965,29.53793541719274,21.634615384615383,9.735576923076923,0.0,0.0,10.817307692307692,12.98076923076923,10.946229917529205,12.872188362716109,4.326923076923077,2.1634615384615383,1.0817307692307692,0.0,24.87980769230769,16.225961538461537,19.471153846153847,7.572115384615384,0.0,0.0,0.0,0.0,0.0,0.0,1.0817307692307692,0.0,0.0,0.0,0.3333333333333333,0.35353140111582415,0.0,0.5612851764178913,0.5791314671965528,0.6521739130434783,0.6628072005859171,0.625,0.5882352941176471,0.5981745035827626,0.6428571428571429,0.6224489795918368,0.5981745035827626,0.6896551724137931,0.0,0.45454545454545453,0.4595699760049921,0.6666666666666666,0.6052631578947368,0.28
20242025,R,2024020898,2025-02-22,NSH,COL,5v5,55.46666666666667,2,1,1.9089079589944609,1.0439159868078458,1,0,1.8614827594719827,2.3815531705040485,1.7885334704983409,2.4610916050204703,16,30,15.471849481467052,30.412432473401015,3,5,28,40,27.306180296782625,40.64913996101686,5,9,38,60,27.306180296782625,40.64913996101686,9,20,0.0,0.0,12,10,11.899623019755337,10.119181434871443,2,4,1,15,23,11,9,14,10,22,23,22,7,5,5,8,11,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1634615384615383,1.0817307692307692,2.064924474873816,1.1292360434219486,1.0817307692307692,0.0,2.0136231773134425,2.5761993430933217,1.9347116868371474,2.662238515046182,17.307692307692307,32.45192307692307,16.73637564101003,32.898063973630904,3.2451923076923075,5.408653846153846,30.288461538461537,43.26923076923077,29.53793541719274,43.971425438599965,5.408653846153846,9.735576923076923,41.10576923076923,64.90384615384615,29.53793541719274,43.971425438599965,9.735576923076923,21.634615384615383,0.0,0.0,12.98076923076923,10.817307692307692,12.872188362716109,10.946229917529205,2.1634615384615383,4.326923076923077,1.0817307692307692,0.0,16.225961538461537,24.87980769230769,11.899038461538462,9.735576923076923,0.0,1.0817307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6464685988841758,1.0,0.4387148235821086,0.4208685328034473,0.34782608695652173,0.3371927994140829,0.375,0.4117647058823529,0.40182549641723736,0.35714285714285715,0.3877551020408163,0.40182549641723736,0.3103448275862069,0.0,0.5454545454545454,0.5404300239950078,0.3333333333333333,0.39473684210526316,0.45
20242025,R,2024020973,2025-03-04,BOS,NSH,5v5,54.86666666666667,3,5,2.8581861110637585,5.207493602914978,2,2,1.3818303996231407,3.192794875940308,1.291998393564532,3.398417283323081,19,28,17.80269754130478,29.707993399083804,5,3,31,42,29.018601012419257,45.091213788094784,7,8,47,59,29.018601012419257,45.091213788094784,13,17,0.0,0.0,12,14,11.29533365928426,15.254546343909674,2,5,3,36,15,19,2,14,18,16,24,23,7,8,9,10,8,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3.2806804374240586,5.467800729040097,3.1255984203613396,5.694707463698031,2.1871202916160386,2.1871202916160386,1.5111146532938355,3.4915132300683807,1.4128779516501564,3.7163736998672814,20.77764277035237,30.619684082624545,19.468320519045324,32.487477593165764,5.467800729040097,3.2806804374240586,33.900364520048605,45.92952612393682,31.73358555428594,49.30995432476951,7.654921020656136,8.748481166464154,51.39732685297691,64.52004860267314,31.73358555428594,49.30995432476951,14.216281895504252,18.59052247873633,0.0,0.0,13.122721749696234,15.309842041312272,12.352126723397125,16.68176392408105,2.1871202916160386,5.467800729040097,3.2806804374240586,0.0,39.3681652490887,16.403402187120292,20.77764277035237,2.1871202916160386,0.0,0.0,0.0,0.0,0.0,0.0,2.1871202916160386,0.0,0.0,0.0,0.375,0.3543639485349509,0.5,0.3020641727759752,0.27545498790884454,0.40425531914893614,0.37470929571707834,0.625,0.4246575342465753,0.3915621849889979,0.4666666666666667,0.44339622641509435,0.3915621849889979,0.43333333333333335,0.0,0.46153846153846156,0.42543821885166483,0.2857142857142857,0.7058823529411765,0.09523809523809523
20242025,R,2024020973,2025-03-04,NSH,BOS,5v5,54.86666666666667,5,3,5.207493602914978,2.8581861110637585,2,2,3.192794875940308,1.3818303996231407,3.398417283323081,1.291998393564532,28,19,29.707993399083804,17.80269754130478,3,5,42,31,45.091213788094784,29.018601012419257,8,7,60,44,45.091213788094784,29.018601012419257,17,13,0.0,0.0,14,12,15.254546343909674,11.29533365928426,5,2,1,15,36,14,6,16,20,10,23,24,8,7,10,9,5,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.467800729040097,3.2806804374240586,5.694707463698031,3.1255984203613396,2.1871202916160386,2.1871202916160386,3.4915132300683807,1.5111146532938355,3.7163736998672814,1.4128779516501564,30.619684082624545,20.77764277035237,32.487477593165764,19.468320519045324,3.2806804374240586,5.467800729040097,45.92952612393682,33.900364520048605,49.30995432476951,31.73358555428594,8.748481166464154,7.654921020656136,65.61360874848117,48.11664641555286,49.30995432476951,31.73358555428594,18.59052247873633,14.216281895504252,0.0,0.0,15.309842041312272,13.122721749696234,16.68176392408105,12.352126723397125,5.467800729040097,2.1871202916160386,1.0935601458080193,0.0,16.403402187120292,39.3681652490887,15.309842041312272,6.561360874848117,0.0,2.1871202916160386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.6456360514650491,0.5,0.6979358272240248,0.7245450120911556,0.5957446808510638,0.6252907042829217,0.375,0.5753424657534246,0.608437815011002,0.5333333333333333,0.5769230769230769,0.608437815011002,0.5666666666666667,0.0,0.5384615384615384,0.5745617811483352,0.7142857142857143,0.29411764705882354,0.3
20242025,R,2024020701,2025-01-14,NSH,VGK,5v5,54.35,4,2,3.9038886795765206,2.038594969644406,1,1,1.6533372635021806,1.7644230488222092,1.6108917635139821,1.7868841591158797,20,17,20.831602854889656,15.969478104443942,3,2,27,28,27.899589371995507,26.573414362506025,6,3,45,39,27.899589371995507,26.573414362506025,18,11,0.0,0.0,7,11,7.14613145777612,10.561957034459432,3,1,0,17,18,32,4,14,20,16,25,20,7,7,10,7,8,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4.415823367065317,2.2079116835326587,4.309720713423942,2.2505188257343947,1.1039558417663293,1.1039558417663293,1.8252113304531892,1.9478451320944352,1.7783533727845249,1.9726412060156908,22.079116835326587,18.767249310027598,22.99716966501158,17.629598643360378,3.311867525298988,2.2079116835326587,29.80680772769089,30.910763569457224,30.799914670096236,29.335876021165806,6.623735050597976,3.311867525298988,49.67801287948482,43.054277828886846,30.799914670096236,29.335876021165806,19.87120515179393,12.143514259429622,0.0,0.0,7.727690892364306,12.143514259429622,7.889013568842082,11.659934168676466,3.311867525298988,1.1039558417663293,0.0,0.0,18.767249310027598,19.87120515179393,35.32658693652254,4.415823367065317,0.0,2.2079116835326587,0.0,0.0,0.0,0.0,1.1039558417663293,0.0,0.0,0.0,0.6666666666666666,0.6569456325030577,0.5,0.4837487454987035,0.47410182430957953,0.5405405405405406,0.5660595371616737,0.6,0.4909090909090909,0.5121727729202633,0.6666666666666666,0.5357142857142857,0.5121727729202633,0.6206896551724138,0.0,0.3888888888888889,0.4035518266643786,0.75,0.4857142857142857,0.1111111111111111
