season,session,game_id,game_date,player,eh_id,api_id,position,team,opp_team,strength_state,toi,g,g_adj,ihdg,a1,a2,ixg,ixg_adj,isf,isf_adj,ihdsf,imsf,imsf_adj,ihdm,iff,iff_adj,ihdf,isb,isb_adj,icf,icf_adj,ibs,ibs_adj,igive,itake,ihf,iht,ifow,ifol,iozfw,iozfl,inzfw,inzfl,idzfw,idzfl,a1_xg,a2_xg,ipent0,ipent2,ipent4,ipent5,ipent10,ipend0,ipend2,ipend4,ipend5,ipend10,gf,ga,gf_adj,ga_adj,hdgf,hdga,xgf,xga,xgf_adj,xga_adj,sf,sa,sf_adj,sa_adj,hdsf,hdsa,ff,fa,ff_adj,fa_adj,hdff,hdfa,cf,ca,cf_adj,ca_adj,bsf,bsa,bsf_adj,bsa_adj,msf,msa,msf_adj,msa_adj,hdmsf,hdmsa,teammate_block,teammate_block_adj,hf,ht,give,take,ozf,nzf,dzf,fow,fol,ozfw,ozfl,nzfw,nzfl,dzfw,dzfl,pent0,pent2,pent4,pent5,pent10,pend0,pend2,pend4,pend5,pend10,ozs,nzs,dzs,otf,g_p60,g_adj_p60,ihdg_p60,a1_p60,a2_p60,ixg_p60,ixg_adj_p60,isf_p60,isf_adj_p60,ihdsf_p60,imsf_p60,imsf_adj_p60,ihdm_p60,iff_p60,iff_adj_p60,ihdf_p60,isb_p60,isb_adj_p60,icf_p60,icf_adj_p60,ibs_p60,ibs_adj_p60,igive_p60,itake_p60,ihf_p60,iht_p60,a1_xg_p60,a2_xg_p60,ipent0_p60,ipent2_p60,ipent4_p60,ipent5_p60,ipent10_p60,ipend0_p60,ipend2_p60,ipend4_p60,ipend5_p60,ipend10_p60,gf_p60,ga_p60,gf_adj_p60,ga_adj_p60,hdgf_p60,hdga_p60,xgf_p60,xga_p60,xgf_adj_p60,xga_adj_p60,sf_p60,sa_p60,sf_adj_p60,sa_adj_p60,hdsf_p60,hdsa_p60,ff_p60,fa_p60,ff_adj_p60,fa_adj_p60,hdff_p60,hdfa_p60,cf_p60,ca_p60,cf_adj_p60,ca_adj_p60,bsf_p60,bsa_p60,bsf_adj_p60,bsa_adj_p60,msf_p60,msa_p60,msf_adj_p60,msa_adj_p60,hdmsf_p60,hdmsa_p60,teammate_block_p60,teammate_block_adj_p60,hf_p60,ht_p60,give_p60,take_p60,pent0_p60,pent2_p60,pent4_p60,pent5_p60,pent10_p60,pend0_p60,pend2_p60,pend4_p60,pend5_p60,pend10_p60,gf_percent,gf_adj_percent,hdgf_percent,xgf_percent,xgf_adj_percent,sf_percent,sf_adj_percent,hdsf_percent,ff_percent,ff_adj_percent,hdff_percent,cf_percent,cf_adj_percent,bsf_percent,bsf_adj_percent,msf_percent,msf_adj_percent,hdmsf_percent,hf_percent,take_percent
20232024,P,2023030141,2024-04-20,SETH JARVIS,SETH.JARVIS,8482093,C,CAR,NYI,5v5,16.616666666666667,0,0.0,0,0,0,0.5456813015043736,0.5410562053455836,3,3.1318307309867834,1,2,2.096270658073862,0,5,5.222552501534501,1,0,0.0,5,5.222552501534501,0,0.0,0,1,3,0,0,2,0,0,0,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1.180142235942185,0.8575983964838088,1.154741072906058,0.8937067342213474,4,14,4.163211321222203,14.019367831834613,1,0,12,16,12.202375196798947,16.06425320000485,2,0,17,17,12.202375196798947,16.06425320000485,5,1,0.0,0.0,8,2,8.04608216795153,2.000847724103478,1,0,0,0.0,10,4,0,0,5,6,3,7,7,2,3,4,2,1,2,0,0,0,0,0,0,1,0,0,0,5,4,0,11,0.0,0.0,0.0,0.0,0.0,1.9703637767459825,1.9536633292317964,10.832497492477431,11.308516180092697,3.6108324974924773,7.2216649949849545,7.569282215713043,0.0,18.054162487462385,18.85776229240141,3.6108324974924773,0.0,0.0,18.054162487462385,18.85776229240141,0.0,0.0,0.0,3.6108324974924773,10.832497492477431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.261295937203476,3.096644159821175,4.169576592238524,3.2270253191543135,14.443329989969909,50.55165496489468,15.032658732597723,50.621588961489074,3.6108324974924773,0.0,43.329989969909725,57.773319959879636,44.0607329071978,58.005327502525034,7.2216649949849545,0.0,61.384152457372124,61.384152457372124,44.0607329071978,58.005327502525034,18.054162487462385,3.6108324974924773,0.0,0.0,28.886659979939818,7.2216649949849545,29.05305496953411,7.2247259847267005,3.6108324974924773,0.0,0.0,0.0,36.10832497492477,14.443329989969909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6108324974924773,0.0,0.0,0.0,0.0,0.0,0.0,0.579142515569898,0.5637151549032549,0.2222222222222222,0.2289670396139754,1.0,0.42857142857142855,0.4316883862306943,1.0,0.5,0.4316883862306943,0.8333333333333334,0.0,0.8,0.8008498371541615,1.0,0.7142857142857143,0.0
20232024,P,2023030141,2024-04-20,STEFAN NOESEN,STEFAN.NOESEN,8476474,R,CAR,NYI,5v5,7.016666666666667,1,0.9596298069251635,1,0,0,0.4576311041601002,0.44414925362085195,2,2.007964552211611,2,1,1.0300111853867766,0,3,3.032469655549582,2,0,0.0,3,3.032469655549582,2,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0.9596298069251635,0.0,1,0,0.7025885985931382,0.04189820634201169,0.6784932603335931,0.04389700430886721,6,3,5.969097028375605,3.0196056653710355,3,0,10,3,9.897164549592532,3.0300072897437307,3,0,12,7,9.897164549592532,3.0300072897437307,2,4,0.0,0.0,4,0,3.947353039714863,0.0,0,0,0,0.0,0,5,0,0,1,4,3,7,1,1,0,4,0,2,1,0,1,0,0,0,0,0,0,0,0,1,3,2,5,8.551068883610451,8.205860581782872,8.551068883610451,0.0,0.0,3.9132350949557266,3.797950862316074,17.102137767220903,17.170243201809498,17.102137767220903,8.551068883610451,8.807696597131581,0.0,25.653206650831354,25.930856912062932,17.102137767220903,0.0,0.0,25.653206650831354,25.930856912062932,17.102137767220903,0.0,0.0,0.0,0.0,8.551068883610451,0.0,0.0,0.0,8.551068883610451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.551068883610451,0.0,8.205860581782872,0.0,8.551068883610451,0.0,6.007883503409258,0.35827444853026624,5.801842606177994,0.37536630762926837,51.30641330166271,25.653206650831354,51.04215986259425,25.820856045928096,25.653206650831354,0.0,85.51068883610452,25.653206650831354,84.63133581599314,25.90980105244045,25.653206650831354,0.0,102.61282660332542,59.857482185273156,84.63133581599314,25.90980105244045,17.102137767220903,34.204275534441805,0.0,0.0,34.204275534441805,0.0,33.75408775053089,0.0,0.0,0.0,0.0,0.0,0.0,42.75534441805226,0.0,0.0,0.0,8.551068883610451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9437220296393818,0.9392336712475028,0.6666666666666666,0.6640665768741302,1.0,0.7692307692307693,0.7656094211942258,1.0,0.631578947368421,0.7656094211942258,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0
20232024,P,2023030141,2024-04-20,ANDREI SVECHNIKOV,ANDREI.SVECHNIKOV,8480830,R,CAR,NYI,5v5,13.483333333333333,0,0.0,0,0,0,0.42211594991385937,0.40884867754647364,4,4.015929104423222,2,4,3.947353039714863,0,8,7.952269980040474,2,2,0.0,10,7.952269980040474,1,0.0,1,0,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.6202454185113311,0.23584592854604125,0.5983797308795676,0.24464981819476844,8,3,7.977061580587216,3.0196056653710355,2,1,15,7,14.816964874083423,7.089174145127712,2,1,22,11,14.816964874083423,7.089174145127712,7,4,0.0,0.0,7,4,6.86469489404295,4.0591668553839835,0,0,0,0.0,12,4,0,0,6,4,4,8,6,4,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,4,1,2,11,0.0,0.0,0.0,0.0,0.0,1.8783898883682246,1.819351346313109,17.799752781211374,17.87063631140124,8.899876390605687,17.799752781211374,17.56547706177195,0.0,35.59950556242275,35.38710992354228,8.899876390605687,8.899876390605687,0.0,44.49938195302843,35.38710992354228,4.449938195302844,0.0,4.449938195302844,0.0,13.349814585908529,4.449938195302844,0.0,0.0,0.0,4.449938195302844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7600537782951697,1.0494998056436942,2.662752819736024,1.0886765704587966,35.59950556242275,13.349814585908529,35.49743101373792,13.437058585087428,8.899876390605687,4.449938195302844,66.74907292954265,31.149567367119907,65.93457793164441,31.546386801557187,8.899876390605687,4.449938195302844,97.89864029666255,48.949320148331275,65.93457793164441,31.546386801557187,31.149567367119907,17.799752781211374,0.0,0.0,31.149567367119907,17.799752781211374,30.547468008102125,18.063041630880523,0.0,0.0,0.0,0.0,53.399258343634116,17.799752781211374,0.0,0.0,0.0,4.449938195302844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7245084542009328,0.7097968648152381,0.7272727272727273,0.7254071985781991,0.6666666666666666,0.6818181818181818,0.676384134195867,0.6666666666666666,0.6666666666666666,0.676384134195867,0.6363636363636364,0.0,0.6363636363636364,0.628412831607199,0.0,0.75,0.0
20232024,P,2023030141,2024-04-20,JAKE GUENTZEL,JAKE.GUENTZEL,8477404,C,CAR,NYI,5v5,16.5,0,0.0,0,0,0,0.3752070441842079,0.3582173407326508,0,0.0,0,3,2.9173418543280865,1,3,2.9173418543280865,1,0,0.0,3,2.9173418543280865,0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.8769297376275063,0.8314102315343916,0.8501743665061057,0.8698144921429773,4,10,4.070725732682449,10.137477491133673,1,1,8,13,7.952269980040474,13.264131538969227,2,1,15,15,7.952269980040474,13.264131538969227,7,2,0.0,0.0,4,3,3.8897891391041153,3.087478696920757,1,0,0,0.0,8,5,0,0,5,5,2,4,8,1,4,3,2,0,2,0,0,0,0,0,0,0,0,0,0,5,2,0,13,0.0,0.0,0.0,0.0,0.0,1.3643892515789378,1.3026085117550938,0.0,0.0,0.0,10.90909090909091,10.608515833920315,3.6363636363636367,10.90909090909091,10.608515833920315,3.6363636363636367,0.0,0.0,10.90909090909091,10.608515833920315,0.0,0.0,0.0,3.6363636363636367,3.6363636363636367,3.6363636363636367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.188835409554568,3.023309932852333,3.0915431509312934,3.1629617896108266,14.545454545454547,36.36363636363637,14.802639027936179,36.86355451321336,3.6363636363636367,3.6363636363636367,29.090909090909093,47.27272727272727,28.91734538196536,48.233205596251736,7.272727272727273,3.6363636363636367,54.54545454545455,54.54545454545455,28.91734538196536,48.233205596251736,25.454545454545457,7.272727272727273,0.0,0.0,14.545454545454547,10.90909090909091,14.144687778560419,11.227195261530026,3.6363636363636367,0.0,0.0,0.0,29.090909090909093,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133227305205083,0.4942906241694212,0.2857142857142857,0.28650531446925,0.5,0.38095238095238093,0.37481709482709935,0.6666666666666666,0.5,0.37481709482709935,0.7777777777777778,0.0,0.5714285714285714,0.5574945996798981,1.0,0.6153846153846154,0.0
20232024,P,2023030141,2024-04-20,NOAH DOBSON,NOAH.DOBSON,8480865,D,NYI,CAR,5v5,19.683333333333334,0,0.0,0,0,0,0.35287251183763146,0.3702505095098635,1,1.0245665400979003,0,2,2.000847724103478,0,3,3.0300072897437307,0,1,0.0,4,3.0300072897437307,1,0.0,0,1,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1.019297484822203,0.0,1,0,1.0092435129918158,0.8648424949496984,1.041141690794484,0.8477480408887413,14,5,14.019367831834613,5.047309694658641,2,1,21,15,21.152579621029087,15.083468763826723,2,2,28,19,21.152579621029087,15.083468763826723,7,4,0.0,0.0,7,10,7.089174145127713,10.048540638114336,0,1,0,0.0,2,14,0,0,5,4,9,10,8,4,1,1,3,5,4,0,0,0,0,0,0,1,0,0,0,2,2,4,17,0.0,0.0,0.0,0.0,0.0,1.0756486389631443,1.1286213668378566,3.048264182895851,3.123149487173955,0.0,6.096528365791702,6.09911245281331,0.0,9.144792548687551,9.236262695239144,0.0,3.048264182895851,0.0,12.193056731583404,9.236262695239144,3.048264182895851,0.0,0.0,3.048264182895851,0.0,9.144792548687551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.048264182895851,0.0,3.1070880146993485,0.0,3.048264182895851,0.0,3.0764408524729356,2.6362684012014515,3.173674925368452,2.584159989161278,42.67569856054192,15.241320914479253,42.73473682862371,15.385533362210928,6.096528365791702,3.048264182895851,64.01354784081286,45.72396274343777,64.47865083463566,45.97839758660135,6.096528365791702,6.096528365791702,85.35139712108383,57.91701947502116,64.47865083463566,45.97839758660135,21.33784928027096,12.193056731583404,0.0,0.0,21.33784928027096,30.482641828958506,21.60967563290412,30.630606517537352,0.0,3.048264182895851,0.0,0.0,6.096528365791702,42.67569856054192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.048264182895851,0.0,0.0,0.0,1.0,1.0,1.0,0.5385257179847169,0.5511924138984561,0.7368421052631579,0.7352811108466393,0.6666666666666666,0.5833333333333334,0.5837441046653813,0.5,0.5957446808510638,0.5837441046653813,0.6363636363636364,0.0,0.4117647058823529,0.4136592442336474,0.0,0.125,0.0
