season,session,game_id,game_date,team,opp_team,strength_state,defense,defense_eh_id,defense_api_id,toi,gf,ga,gf_adj,ga_adj,hdgf,hdga,xgf,xga,xgf_adj,xga_adj,sf,sa,sf_adj,sa_adj,hdsf,hdsa,ff,fa,ff_adj,fa_adj,hdff,hdfa,cf,ca,cf_adj,ca_adj,bsf,bsa,bsf_adj,bsa_adj,msf,msa,msf_adj,msa_adj,hdmsf,hdmsa,teammate_block,teammate_block_adj,hf,ht,give,take,ozf,nzf,dzf,fow,fol,ozfw,ozfl,nzfw,nzfl,dzfw,dzfl,pent0,pent2,pent4,pent5,pent10,pend0,pend2,pend4,pend5,pend10,gf_p60,ga_p60,gf_adj_p60,ga_adj_p60,hdgf_p60,hdga_p60,xgf_p60,xga_p60,xgf_adj_p60,xga_adj_p60,sf_p60,sa_p60,sf_adj_p60,sa_adj_p60,hdsf_p60,hdsa_p60,ff_p60,fa_p60,ff_adj_p60,fa_adj_p60,hdff_p60,hdfa_p60,cf_p60,ca_p60,cf_adj_p60,ca_adj_p60,bsf_p60,bsa_p60,bsf_adj_p60,bsa_adj_p60,msf_p60,msa_p60,msf_adj_p60,msa_adj_p60,hdmsf_p60,hdmsa_p60,teammate_block_p60,teammate_block_adj_p60,hf_p60,ht_p60,give_p60,take_p60,pent0_p60,pent2_p60,pent4_p60,pent5_p60,pent10_p60,pend0_p60,pend2_p60,pend4_p60,pend5_p60,pend10_p60,gf_percent,gf_adj_percent,hdgf_percent,xgf_percent,xgf_adj_percent,sf_percent,sf_adj_percent,hdsf_percent,ff_percent,ff_adj_percent,hdff_percent,cf_percent,cf_adj_percent,bsf_percent,bsf_adj_percent,msf_percent,msf_adj_percent,hdmsf_percent,hf_percent,take_percent
20232024,P,2023030141,2024-04-20,CAR,NYI,5v5,"JALEN CHATFIELD, DMITRY ORLOV","JALEN.CHATFIELD, DMITRY.ORLOV","8478970, 8475200",16.316666666666666,0,0,0.0,0.0,0,0,1.1726577169029042,0.1861946089193225,1.1325308816768558,0.19513367295899878,11,5,10.90681346651579,5.014644790644171,1,0,17,5,16.85567163154654,5.030855013847209,2,0,22,16,16.85567163154654,5.030855013847209,4,11,0.0,0.0,6,0,5.986059797177978,0.0,1,0,1,0.0,5,7,1,5,6,6,4,11,5,4,2,5,1,2,2,0,2,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.3121223502047545,0.6846788479157926,4.164567082774955,0.717549767775685,40.44943820224719,18.386108273748725,40.10677066338799,18.439960415034744,3.677221654749745,0.0,62.51276813074567,18.386108273748725,61.9820407288739,18.499568998825282,7.35444330949949,0.0,80.89887640449437,58.83554647599592,61.9820407288739,18.499568998825282,14.70888661899898,40.44943820224719,0.0,0.0,22.06332992849847,0.0,22.012068712809725,0.0,3.677221654749745,0.0,3.677221654749745,0.0,18.386108273748725,25.740551583248212,3.677221654749745,18.386108273748725,0.0,7.35444330949949,0.0,0.0,0.0,0.0,3.677221654749745,0.0,0.0,0.0,0.0,0.0,0.0,0.8629765682546423,0.8530248681584189,0.6875,0.6850385995020865,1.0,0.7727272727272727,0.7701391776156494,1.0,0.5789473684210527,0.7701391776156494,0.26666666666666666,0.0,1.0,1.0,1.0,0.4166666666666667,0.8333333333333334
20232024,P,2023030141,2024-04-20,CAR,NYI,5v5,"BRETT PESCE, BRADY SKJEI","BRETT.PESCE, BRADY.SKJEI","8477488, 8476869",14.066666666666666,1,0,0.9596298069251635,0.0,1,0,1.0527059510350227,0.5094041330739856,1.0262657744859234,0.530425052493024,6,8,6.07869028489406,7.980156501092541,3,0,16,9,15.962103860691695,9.032550462054164,3,0,19,14,15.962103860691695,9.032550462054164,2,5,0.0,0.0,10,1,9.897164549592532,1.0291595656402523,0,0,1,0.0,10,6,3,1,6,1,6,9,4,4,2,1,0,4,2,0,0,0,0,0,0,1,0,0,0,4.265402843601896,0.0,4.093207707263731,0.0,4.265402843601896,0.0,4.490214957021425,2.172813837756337,4.377436952783559,2.2624765272214296,25.592417061611375,34.12322274881517,25.928062826562343,34.03858223214828,12.796208530805687,0.0,68.24644549763033,38.388625592417064,68.08480319726316,38.52746642582345,12.796208530805687,0.0,81.04265402843602,59.715639810426545,68.08480319726316,38.52746642582345,8.530805687203792,21.32701421800948,0.0,0.0,42.65402843601896,4.265402843601896,42.21539381342786,4.389780137802024,0.0,0.0,4.265402843601896,0.0,42.65402843601896,25.592417061611375,12.796208530805687,4.265402843601896,0.0,0.0,0.0,0.0,0.0,0.0,4.265402843601896,0.0,0.0,0.0,1.0,1.0,1.0,0.673899977821001,0.6592611433816862,0.42857142857142855,0.43237474434625034,1.0,0.64,0.6386207088355577,1.0,0.5757575757575758,0.6386207088355577,0.2857142857142857,0.0,0.9090909090909091,0.9058091674028355,0.0,0.625,0.25
20232024,P,2023030141,2024-04-20,NYI,CAR,5v5,"NOAH DOBSON, ALEX ROMANOV","NOAH.DOBSON, ALEX.ROMANOV","8480865, 8481014",16.516666666666666,1,0,1.019297484822203,0.0,1,0,0.9018754386343062,0.6354703810065985,0.9306969404600272,0.6203200435576768,9,4,9.004723041190442,4.015929104423222,2,0,15,14,15.150036448718652,14.053457578439946,2,1,18,20,15.150036448718652,14.053457578439946,3,6,0.0,0.0,6,10,6.117485986664487,10.048540638114336,0,1,0,0.0,2,12,1,3,8,4,5,9,8,4,4,1,3,4,1,0,0,0,0,0,0,1,0,0,0,3.6326942482341074,0.0,3.702796110353109,0.0,3.6326942482341074,0.0,3.2762377185504565,2.3084695980058068,3.380937422458222,2.2534330542963033,32.694248234106965,14.53077699293643,32.71140559867366,14.588642558954186,7.265388496468215,0.0,54.49041372351161,50.857719475277506,55.03545026779733,51.05191451300082,7.265388496468215,3.6326942482341074,65.38849646821393,72.65388496468215,55.03545026779733,51.05191451300082,10.898082744702322,21.796165489404643,0.0,0.0,21.796165489404643,36.326942482341074,22.222956157408838,36.50327577922463,0.0,3.6326942482341074,0.0,0.0,7.265388496468215,43.59233097880929,3.6326942482341074,10.898082744702322,0.0,0.0,0.0,0.0,0.0,0.0,3.6326942482341074,0.0,0.0,0.0,1.0,1.0,1.0,0.5866444797989352,0.6000559310763832,0.6923076923076923,0.6915723529426988,1.0,0.5172413793103449,0.5187747888875713,0.6666666666666666,0.47368421052631576,0.5187747888875713,0.3333333333333333,0.0,0.375,0.3784161766310455,0.0,0.14285714285714285,0.75
20232024,P,2023030141,2024-04-20,NYI,CAR,5v5,"ADAM PELECH, ROBERT BORTUZZO","ADAM.PELECH, ROBERT.BORTUZZO","8476917, 8474145",2.25,0,0,0.0,0.0,0,0,0.026584479957818985,0.021445597056299448,0.02790811960933156,0.020474521646134086,1,2,1.0245665400979003,1.953167923952383,0,0,1,3,1.0291595656402523,2.9173418543280865,0,0,2,3,1.0291595656402523,2.9173418543280865,1,0,0.0,0.0,0,1,0.0,0.9724472847760288,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7089194655418396,0.5718825881679853,0.7442165229155082,0.5459872438969089,26.666666666666664,53.33333333333333,27.32177440261067,52.084477972063546,0.0,0.0,26.666666666666664,80.0,27.444255083740064,77.79578278208231,0.0,0.0,53.33333333333333,80.0,27.444255083740064,77.79578278208231,26.666666666666664,0.0,0.0,0.0,0.0,26.666666666666664,0.0,25.931927594027435,0.0,0.0,0.0,0.0,0.0,26.666666666666664,0.0,26.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5534965090729395,0.5768209193453006,0.3333333333333333,0.3440758578265893,0.0,0.25,0.26077770058131866,0.0,0.4,0.26077770058131866,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20232024,P,2023030141,2024-04-20,CAR,NYI,5v5,"BRETT PESCE, JACCOB SLAVIN","BRETT.PESCE, JACCOB.SLAVIN","8477488, 8476958",2.4,0,0,0.0,0.0,0,0,0.1294471025466919,0.21707724290899932,0.12358562441342992,0.22692656118852333,1,3,0.9765839619761915,3.073699620293701,1,2,1,5,0.9724472847760288,5.088326421024235,1,2,2,5,0.9724472847760288,5.088326421024235,1,0,0.0,0.0,0,2,0.0,2.000847724103478,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.2361775636672974,5.426931072724983,3.089640610335748,5.673164029713083,25.0,75.0,24.41459904940479,76.84249050734253,25.0,50.0,25.0,125.00000000000001,24.31118211940072,127.20816052560588,25.0,50.0,50.0,125.00000000000001,24.31118211940072,127.20816052560588,25.0,0.0,0.0,0.0,0.0,50.0,0.0,50.02119310258695,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3735584649224705,0.3525858143881353,0.25,0.24111495951818923,0.3333333333333333,0.16666666666666666,0.16044936372486243,0.3333333333333333,0.2857142857142857,0.16044936372486243,1.0,0.0,0.0,0.0,0.0,1.0,0.0
